id,coaching_type,hostel_dayscholar,student_name,ph_no1,ph_no2,gender,dob,father_name,father_ph_no,mother_name,mother_ph_no,admission_opted_for,ac_nonac,blood_group,age,nationality,religion,community,caste,student_whatsapp_no,door_no,street_name,city,district,state,pincode,parent_whatsapp_no,email,father_qualification,father_occupation,father_annual_income,father_designation,fathers_place_of_work,mother_qualification,mother_occupation,mother_annual_income,mother_designation,mother_place_of_work,board_of_study_X_std,school_name_X_std,district_name_school_X_std,total_marks_X_std,board_of_study_XII_std,school_name_XII_std,district_name_school_XII_std,total_marks_XII_std,S1,S1_max_marks,S1_obtained_mark,S2,S2_max_marks,S2_obtained_mark,S3,S3_max_marks,S3_obtained_mark,S4,S4_max_marks,S4_obtained_mark,total_marks,total_attempts_neet,neet_score_2025,neet_score_2024,section
1,Offline,Hostel,Karthik,8220373143,7010382572,Male,21-01-1999,Raja,7010382572,kannamani,7010382572,,Non AC,A+,26,Indian,Hindu,BC,bc,7845346512,23,annai sathiya street,pollachio,Coimbatore,Tamil Nadu,642001,7612345645,karthi@gmail.com,Degree,Public Service,890000,police,chennai,Degree,Teaching,90000,Teacher,coimbatore,STATE BOARD,Government School,coimabtore,455,STATEBOARD,Government School,coimabtore,544,ENGLISH,100,78,PHYSICS,100,67,CHEMISTRY,100,87,BIOLOGY,100,87,319,2,344,344,B
2,Online Recorded,NULL,Selvakumar,1234567890,9874561230,Male,28-02-1995,sellappan,9782568741,rajammal,7894561230,,AC,A+,29,Indian,Hindu,BC,bc,7645674523,23,annai sathiya street,VILLUPURAM,Coimbatore,Tamil Nadu,638211,7676453575,selva@gmail.com,Degree,Public Service,899999,police,chennai,Degree,Teaching,788888,Teacher,coimbatore,STATE BOARD,Government School,Coimabtore,489,STATEBOARD,Government School,Coimabtore,567,ENGLISH,100,67,PHYSICS,100,78,CHEMISTRY,100,65,BIOLOGY,100,78,288,2,250,244,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
